,FIRST_NAME,LAST_NAME,SPORT,BIRTHPLACE,BIRTHPLACE_STATE,HOMETOWN,HOMETOWN_STATE,CURRENT_RESIDENCE,CURRENT_RESIDENCE_STATE,SCHOOL,FULL_BIRTHPLACE,FULL_HOMETOWN,FULL_RESIDENCE
59,Jahmal,Harvey,Boxing,Oxon Hill,Maryland,Oxon Hill,MD,Oxon Hill,Maryland,,"Oxon Hill, Maryland ","Oxon Hill, MD","Oxon Hill, Maryland "
61,Omari,Jones,Boxing,Orlando,Florida,Orlando,Florida,Orlando,Florida,Valencia College,"Orlando, Florida","Orlando, Florida","Orlando, Florida"
62,Roscoe ,Hill ,Boxing,Spring,TX,Spring,TX,Spring,Texas,,"Spring, TX","Spring, TX","Spring, Texas "
63,Alyssa,Mendoza ,Boxing ,Caldwell ,Idaho,Caldwell ,Idaho,Caldwell ,Idaho,,"Caldwell , Idaho","Caldwell , Idaho","Caldwell , Idaho "
64,Jajaria ,Gonzalez,Boxing,Glendora ,California,Glendora ,California,Glendora ,California,,"Glendora , California ","Glendora , California","Glendora , California "
65,Jennifer,Lozano,Boxing,Laredo ,Texas,Laredo,TX,Laredo ,Texas,,"Laredo , Texas","Laredo, TX","Laredo , Texas "
67,"Logan ""Logistx""",Edra,Breaking,Chula Vista,California,San Diego,California,San Diego,California,,"Chula Vista, California ","San Diego, California ","San Diego, California "
68,Sunny,Choi,Breaking,Queens ,New York,Queens,NY,Queens ,New York,Wharton School at the University of Pennsylvania,"Queens , New York ","Queens, NY","Queens , New York "
70,Victor,Montalvo,Breaking,Kissimmee,Florida,Kissimmee,Florida,Los Angeles ,California,,"Kissimmee, Florida","Kissimmee, Florida","Los Angeles , California "
71,Evy ,Leibfarth ,Canoeing,Sylva ,North Carolina,Bryson City ,North Carolina,Charlotte,North Carolina,Davidson College ,"Sylva , North Carolina","Bryson City , North Carolina","Charlotte, North Carolina "
72,Nevin,Harrison,Canoeing,Seattle,Washington,Seattle ,Washington,San Diego,California,San Diego State University,"Seattle, Washington","Seattle , Washington","San Diego, California"
73,Aaron ,Small ,Canoeing,Seattle,Washington,Seattle,Washington,Seattle ,Washington,University of Washington ,"Seattle, Washington","Seattle, Washington ","Seattle , Washington "
74,Casey ,Eichfeld ,Canoeing,Harrisburg ,Pensylvania,Harrisburg ,Pensylvania,Charlotte,North Carolina,,"Harrisburg , Pensylvania ","Harrisburg , Pensylvania ","Charlotte, North Carolina "
75,Jonas ,Ecker ,Canoeing,Bellingham ,Washington,Bellingham ,Washington,Seattle ,Washington,University of Washington ,"Bellingham , Washington","Bellingham , Washington ","Seattle , Washington "
76,Alise,Willoughby,Cycling (BMX Racing),St. Cloud ,Minnesota,St. Cloud ,Minnesota,Chula Vista ,California,University of San Diego,"St. Cloud , Minnesota ","St. Cloud , Minnesota ","Chula Vista , California "
77,Chloe,Dygert,Cycling (Road),Brownsburg,Indiana,Brownsburg,Indiana,Colorado Springs,Colorado,Marian University,"Brownsburg, Indiana","Brownsburg, Indiana","Colorado Springs, Colorado"
78,Daleny ,Vaughn ,Cycling (BMX Racing),Tucson ,Arizona,Tucson ,Arizona,Tucson ,Arizona,,"Tucson , Arizona ","Tucson , Arizona ","Tucson , Arizona "
79,Felicia,Stancil,Cycling (BMX Racing),Lake County,Illinois,Lake Villa,Illinois,Indianapolis,Indiana,Marian University,"Lake County, Illinois","Lake Villa, Illinois","Indianapolis, Indiana"
80,Haley,Batten,Cycling (Mountain Bike),Park City,Utah,Park City,Utah,Santa Crus,California,Quest University,"Park City, Utah","Park City, Utah","Santa Crus, California"
81,Hannah,Roberts,Cycling (BMX Freestyle),South Bend,Indiana,Buchanan,Michigan,Jacksonville,North Carolina,Buchanan High School,"South Bend, Indiana","Buchanan, Michigan","Jacksonville, North Carolina "
82,Jennifer,Valente,Cycling (Track Cycling),San Diego ,California,San Diego ,California,Colorado Springs,Colorado,,"San Diego , California ","San Diego , California ","Colorado Springs, Colorado"
83,Kristen ,Faulkner,Cycling (Track Cycling),Homer ,Alaska,Homer ,Alaska,San Francisco ,California,Harvard University,"Homer , Alaska ","Homer , Alaska ","San Francisco , California "
84,Lily ,Williams,Cycling (Track Cycling),Tallahassee,Florida,Tallahassee ,Florida,Provence ,France,Vanderbilt University ’16; Northwestern University ’17,"Tallahassee, Florida","Tallahassee , Florida","Provence , France "
85,Perris,Benegas,Cycling (BMX Freestyle),Reno,Nevada,Reno,Nevada,Fuquay Varina,North Carolina,,"Reno, Nevada","Reno, Nevada","Fuquay Varina, North Carolina "
86,Riley,Amos,Cycling (Mountain Bike),Durango,Colorado,Durango,Colorado,Durango,Colorado,,"Durango, Colorado","Durango, Colorado","Durango, Colorado"
87,Savilia ,Blunk,Cycling (Mountain Bike),Santa Rosa,California,Inverness,California,Durango,Colorado,Fort Lewis College,"Santa Rosa, California","Inverness, California","Durango, Colorado"
88,Taylor,Knibb,Cycling (Road),Washington,DC,Washington,DC,Boulder,Colorado,Cornell University,"Washington, DC","Washington, DC","Boulder, Colorado"
89,Olivia ,Cummins,Cycling (Track Cycling),Fort Collins,Colorado,Fort Collins,Colorado,Grand Junction,Colorado,Colorado Mesa University,"Fort Collins, Colorado ","Fort Collins, Colorado ","Grand Junction, Colorado"
90,Brandon,McNulty,Cycling (Road),Phoenix,Arizona,Phoenix,Arizona,Phoenix,Arizona,,"Phoenix, Arizona","Phoenix, Arizona","Phoenix, Arizona"
91,Cameron ,Wood,Cycling (BMX Racing),Montana City ,Montana,Montana City ,Montana,Phoenix,Arizona,,"Montana City , Montana ","Montana City , Montana ","Phoenix, Arizona"
92,Christopher,Blevins,Cycling (Mountain Bike),Durango,Colorado,Durango,Colorado,San Luis Obisp,California,California Polytechnic State University,"Durango, Colorado","Durango, Colorado","San Luis Obisp, California "
93,Grant ,Koontz,Cycling (Track Cycling),Houston ,Texas,Houston ,Texas,Tollan ,Colorado,"Texas A&M University,","Houston , Texas ","Houston , Texas ","Tollan , Colorado"
94,Justin,Dowell,Cycling (BMX Freestyle),Virginia Beach,Virginia,Virginia Beach,Virginia,Fuquay Varina,North Carolina,Princess Anne High School (Virginia Beach),"Virginia Beach, Virginia","Virginia Beach, Virginia","Fuquay Varina, North Carolina "
95,Kamren ,Larsen,Cycling (BMX Racing),Bakersfield ,California,Bakersfield ,California,Oldsmar ,Florida,Grand Canyon University ,"Bakersfield , California ","Bakersfield , California ","Oldsmar , Florida "
96,Magnus,Sheffield,Cycling (Road),Pittsford ,New York,Pittsford ,New York,Andorra ,Europe,,"Pittsford , New York ","Pittsford , New York ","Andorra , Europe "
97,Marcus,Christopher,Cycling (BMX Freestyle),Canton,Ohio,Canton,Ohio,Canton,Ohio,,"Canton, Ohio","Canton, Ohio","Canton, Ohio"
98,Matteo ,Jorgenson,Cycling (Road),Walnut Creek,California,Boise,Idaho,Nice,France,,"Walnut Creek, California","Boise, Idaho ","Nice, France"
99,Alison,Gibson,Diving,Houston,Texas,Austin,Texas,Austin,Texas,University of Texas,"Houston, Texas","Austin, Texas","Austin, Texas"
101,Delaney,Schnell,Diving,Iron Mountain,Michigan,Tucson,Arizona,Tucson,Arizona,University of Arizona,"Iron Mountain, Michigan","Tucson, Arizona","Tucson, Arizona"
102,Kassidy ,Cook ,Diving,Plantation ,Florida,The Woodlands,Texas,Minneapolis,Minnestoa,Stanford University ,"Plantation , Florida ","The Woodlands, Texas ","Minneapolis, Minnestoa "
103,Jessica,Parratto,Diving,Dover,New Hampshire,Dover,New Hampshire,Bloomington,Indiana,Indiana University Bloomington ,"Dover, New Hampshire","Dover, New Hampshire","Bloomington, Indiana"
104,Sarah,Bacon,Diving,Indianapolis,Indiana,Indianapolis,Indiana,Minneapolis,Minnestoa,University of Minnesota,"Indianapolis, Indiana","Indianapolis, Indiana","Minneapolis, Minnestoa "
105,Andrew,Capobianco,Diving,Mineola,New York,Holly Springs,North Carolina,Bloomington ,Indiana,Indiana University Bloomington,"Mineola, New York","Holly Springs, North Carolina","Bloomington , Indiana "
107,Carson,Tyler,Diving,Moultrie,Georgia,Moultrie,Georgia,Bloomington ,Indiana,Indiana University ,"Moultrie, Georgia","Moultrie, Georgia","Bloomington , Indiana "
