first_name,last_name,sport,location_name,lat,long,location_type
Justin,Dowell,Cycling (BMX Freestyle),Princess Anne High School (Virginia Beach),36.71511,-76.020982,School
Kamren,Larsen,Cycling (BMX Racing),Grand Canyon University,27.925386,-82.225915,School
Kassidy,Cook,Diving,Stanford University,37.42509,-122.1675,School
Jessica,Parratto,Diving,Indiana University Bloomington,39.167027,-86.52708,School
Andrew,Capobianco,Diving,Indiana University Bloomington,39.167027,-86.52708,School
Carson,Tyler,Diving,Indiana University,39.903026,-86.28395,School
Anne,Cebula,Fencing,Barnard College,40.17444,-94.82386,School
Margherita,Guzzi Vincenti,Fencing,Penn State Univeristy,40.32896,-79.64115,School
Eli,Dershwitz,Fencing,Harvard University,42.42224,-88.61371,School
Nick,Itkin,Fencing,University of Notre Dame,41.712015,-86.249752,School
Alexander,Massialas,Fencing,Stanford University,37.42509,-122.1675,School
Jackie,Dubrovich,Fencing,Columbia University,33.987454,-81.024864,School
Lauren,Scruggs,Fencing,Harvard University,42.42224,-88.61371,School
Magda,Skarbonkiewicz,Fencing,University of Notre Dame - incoming freshman,41.712015,-86.249752,School
Gerek,Meinhardt,Fencing,University of Notre Dame,41.712015,-86.249752,School
Miles,Chamley-Watson,Fencing,Penn State University,40.32896,-79.64115,School
Filip,Dolegiewicz,Fencing,Harvard University,42.42224,-88.61371,School
Kelsey,Bing,Field Hockey,Stanford University,37.42509,-122.1675,School
Phia,Gladieux,Field Hockey,Penn State University,40.32896,-79.64115,School
Ally,Hammel,Field Hockey,Boston University,42.354318,-71.073449,School
Megan,Valzonis,Field Hockey,UC Berkeley,37.864425,-122.28713,School
Rose,Zhang,Golf,Stanford University,37.42509,-122.1675,School
Angelica,Delgado,Judo,Florida International University,27.767432,-82.402346,School
Evita,Griskenas,Rhythmic Gymnastics,Columbia University,33.987454,-81.024864,School
William,Bender,Rowing,Dartmouth College,41.756214,-71.067062,School
Charlotte,Buck,Rowing,Columbia University,33.987454,-81.024864,School
Molly,Bruggeman,Rowing,University of Notre Dame,41.712015,-86.249752,School
Olivia,Coffey,Rowing,Harvard University,42.42224,-88.61371,School
Meghan,Musnicki,Rowing,Ithaca College,44.5892119,-75.1608814,School
Meghan,Musnicki,Rowing,St. Lawrence University ,42.402794,-76.483999,School
Molly,Reckford,Rowing,Dartmouth College,41.756214,-71.067062,School
Michelle,Sechser,Rowing,University of Tulsa,35.970661,-95.844784,School
Kristi,Wagner,Rowing,Yale University,43.121947,-82.827417,School
Liam,Corrigan,Rowing,Harvard University,42.42224,-88.61371,School
Michael,Grady,Rowing,Cornell University,45.125153,-91.170922,School
Sorin,Koszyk,Rowing,Cornell University,45.125153,-91.170922,School
Clark,Dean,Rowing,Harvard University,42.42224,-88.61371,School
Pieter,Quinton,Rowing,Harvard University,42.42224,-88.61371,School
Ariana,Ramsey,Rugby,Dartmouth College,41.756214,-71.067062,School
Steph,Rovetti,Rugby,Brigham Young University,33.741518,-110.860653,School
Sammy,Sullivan,Rugby,Army West Point,33.621135,-88.609136,School
Lara,Dallman-Weiss,Sailing,Eckerd College,38.84276,-107.96284,School
Erika,Reineke,Sailing,Boston College,42.354318,-71.073449,School
Dominique,Stater,Sailing,University of Miami,39.521163,-84.376804,School
Stephanie,Roble,Sailing,Old Dominion University,27.707756,-82.442505,School
Stu,McNay,Sailing,Yale University,43.121947,-82.827417,School
Hans,Henken,Sailing,California Rowing Club,37.155177,-119.543418,School
Ian,Barrows,Sailing,Yale University,43.121947,-82.827417,School
Markus,Edegran,Sailing,St. Mary's College of Maryland,38.223077,-76.534487,School
Ryann,Phillips,Shooting,Texas A&M University-Corpus Christi,27.764919,-97.394825,School
Ivan,Roe,Shooting,Murray State University,34.477598,-96.827993,School
Vincent,Hancock,Shooting,Troy University,42.555985,-83.119206,School
Will,Hinton,Shooting,Dacula High School,33.988309,-83.879494,School
Bryce,Wettstein,Skateboarding,"MiraCosta College, San Elijo Campus",36.41423,-91.73487,School
Brooke,Raboutou,Sport Climbing,University of San Diego,32.74887,-117.122209,School
Emma,Hunt,Sport Climbing,Kennesaw State University,35.823301,-90.692816,School
Griffin,Colapinto,Surfing,San Clemente High School,33.42362,-117.606843,School
John John,Florence,Surfing,Kahuku High School,21.68152,-157.94072,School
Blake,Pieroni,Swimming,Indiana University,39.903026,-86.28395,School
Chris,Guiliano,Swimming,University of Notre Dame,41.712015,-86.249752,School
Josh,Matheny,Swimming,Indiana University,39.903026,-86.28395,School
Anna,Peplowski,Swimming,Indiana University,39.903026,-86.28395,School
Katie,Ledecky,Swimming,Stanford University,37.42509,-122.1675,School
Lilly,King,Swimming,Indiana University Bloomington,39.167027,-86.52708,School
Mariah,Denigan,Swimming,Indiana University,39.903026,-86.28395,School
Regan,Smith,Swimming,Stanford University,37.42509,-122.1675,School
Simone,Manuel,Swimming,Stanford University,37.42509,-122.1675,School
"Victoria ""Torri""",Huske,Swimming,Stanford University,37.42509,-122.1675,School
Kanak,Jha,Table Tennis,Milpitas High School,37.436454,-121.861989,School
Rajeev,Ram,Tennis,Illinois Univeristy,40.102875,-89.152611,School
Chris,Nilsen,Track and Field,South Dakota University,44.446796,-100.238176,School
Clayton,Young,Track and Field,Brigham Young University,33.741518,-110.860653,School
Conner,Mantz,Track and Field,Brigham Young University,33.741518,-110.860653,School
Grant,Fisher,Track and Field,Stanford University,37.42509,-122.1675,School
Harrison,Williams,Track and Field,Stanford University,37.42509,-122.1675,School
Joe,Kovacs,Track and Field,Penn State University,40.32896,-79.64115,School
Leonard,Korir,Track and Field,Iona College,42.070024,-93.493347,School
Noah,Lyles,Track and Field,TC Williams High School,39.142737,-122.243739,School
Sam,Kendricks,Track and Field,University of Mississippi,34.365411,-89.53718,School
Woody,Kincaid,Track and Field,University of Portland,45.399716,-122.27426,School
Yared,Nuguse,Track and Field,University of Notre Dame,41.712015,-86.249752,School
Annette,Echikunwoke,Track and Field,Cincinnati University,39.166759,-84.53822,School
Emily,Sisson,Track and Field,Providence College,41.81835,-71.424851,School
Fiona,O'Keeffe,Track and Field,Stanford University,37.42509,-122.1675,School
Melissa,Jefferson,Track and Field,Coastal Carolina University,18.379441,-65.957695,School
Vashti,Cunningham,Track and Field,Sacramento State University,38.377411,-121.444429,School
Taylor,Knibb,Triathlon,Cornell University,45.125153,-91.170922,School
Matt,Anderson,Volleyball,Penn State University,40.32896,-79.64115,School
T.J.,DeFalco,Volleyball,California State University Long Beach,33.82825,-118.180503,School
Max,Holt,Volleyball,Penn State University,40.32896,-79.64115,School
Thomas,Jaeschke,Volleyball,Loyola University Chicago,42.000648,-87.660954,School
Jeff,Jendryk II,Volleyball,Loyola University Chicago,42.000648,-87.660954,School
Aaron,Russell,Volleyball,Penn State University,40.32896,-79.64115,School
Erik,Shoji,Volleyball,Stanford University,37.42509,-122.1675,School
Kathryn,Plummer,Volleyball,Stanford University,37.42509,-122.1675,School
Jordan,Thompson,Volleyball,University of Cincinnati,39.521163,-84.376804,School
Jenna,Flynn,Water Polo,Stanford University,37.42509,-122.1675,School
Jewel,Roemer,Water Polo,Stanford University,37.42509,-122.1675,School
Maggie,Steffens,Water Polo,Stanford University,37.42509,-122.1675,School
Ryann,Neushul,Water Polo,Stanford University,37.42509,-122.1675,School
Alex,Bowen,Water Polo,Stanford University,37.42509,-122.1675,School
Alex,Obert,Water Polo,University of the Pacific,38.634376,-90.311726,School
Ben,Hallock,Water Polo,Stanford University,37.42509,-122.1675,School
Drew,Holland,Water Polo,Stanford University,37.42509,-122.1675,School
Dylan,Woodhead,Water Polo,Stanford University,37.42509,-122.1675,School
Olivia,Reeves,Weightlifting,University of Tennessee-Chattanooga,35.043744,-85.3011,School
Amit,Elor,Wrestling,Diablo Valley College,32.81874,-85.17939,School
Dom,Parrish,Wrestling,"Simon Fraser University (British Columbia, Canada)",59.60368,-133.513683,School
Kayla,Miracle,Wrestling,Campbellsville,37.337416,-85.357952,School
Sarah,Hildebrandt,Wrestling,King University,36.320179,-80.292174,School
Zain,Retherford,Wrestling,Penn State University,40.32896,-79.64115,School
Ben,Davison,Rowing,"Iverness , Florida",28.8447,-82.3631194,Hometown
Alex,Obert,Water Polo,"Loomis/Sacremento, California",38.806322,-121.2006899,Hometown
Vinson,Chiu,Badminton,"Southern , California",35.187133,-117.885359,Hometown
Annette,Echikunwoke,Track and Field,"Pickering North , Ohio ",39.88423,-82.7535,Hometown
Sunny,Choi,Breaking,"Queens, NY",40.745263,-73.711159,Hometown
Cameron,Wood,Cycling (BMX Racing),"Montana City , Montana ",46.537711,-111.932769,Hometown
