QUALIFIED,,UPDATED,NAME,GENDER,SPORT,BIRTHPLACE,STATION,HOMETOWN,STATION,CURRENT RESIDENCE,STATION,SCHOOL,STATION,CLUB/PRO TEAM,STATION,OLYMPIC TEAMS,OLYMPIC MEDALS,TWITTER/X URL,INSTAGRAM URL,TIKTOK URL,DRUPAL TAGS
,,X,Chris Lillis,Male,Freestyle Skiing (Aerials),"Rochester, NY",WHEC,"Pittsford, NY",WHEC,"Park City, UT",KSL ,University of Utah ,KSL,Bristol Mountain Freestyle Team,WHEC,2022,1 gold,Christopher Lillis (@chrislillisski) / X,https://www.instagram.com/chrislillis1/?hl=en,Chris Lillis (@chrislillis376) | TikTok,X
,,X,Connor Curran,Male,Freestyle Skiing (Aerials),"Cincinnati, OH",WLWT,"Sharonville, OH",WLWT,"Park City, UT",KSL ,Utah Valley University,KSL ,Park City Ski & Snowboard / Elite Aerial Development Program,KSL,,,,https://www.instagram.com/cj.curran1/?hl=en,,X
,,X,Justin Schoenefeld,Male,Freestyle Skiing (Aerials),"Lawrenceburg, IN ",WLWT,"Lawrenceburg, IN ",WLWT,"Park City, UT",KSL,Utah Valley University,KSL ,Perfect North Slopes / Elite Aerial Development Program,WLWT / WPTZ,2022,1 gold ,Justin Schoenefeld (@jrschoenefeld) / X,https://www.instagram.com/jrschoenefeld/feed/,Justin Schoenefeld (@justinschoenefeld) | TikTok,X
X,,X,Quinn Dehlinger,Male,Freestyle Skiing (Aerials),"Cincinnati, OH",WLWT,"Cincinnati, OH",WLWT,"Park City, UT ",KSL ,Salt Lake Community College,KSL,Elite Aerial Development Program,WPTZ,,,Quinn Dehlinger (@DehlingerQuinn) / X,https://www.instagram.com/quinndehlinger/,Quinn (@quinndehlinger) | TikTok,X
,,X,Ashley Caldwell,Female,Freestyle Skiing (Aerials),"Montgomery, MD",WRC,"Ashburn, VA",WRC,"Park City, UT ",KSL ,SUNY Empire State,WPTZ,Elite Aerial Development Program,WPTZ,"2010, 2014, 2018, 2022",1 gold ,Ashley Caldwell (@AshleySkis) / X,https://www.instagram.com/ashleyskis93/?hl=en,,X
,,X,Kaila Kuhn,Female,Freestyle Skiing (Aerials),"Petoskey, MI",WPBN,"Boyne City, MI ",WPBN,"Park City, UT",KSL,University of Utah ,KSL,Park City Ski & Snowboard / Elite Aerial Development Program,KSL / WPTZ,2022,,,https://www.instagram.com/kaila_m_kuhn/?hl=en,Kaila Kuhn (@kailakuhn3) | TikTok,X
,,X,Karenna Elliott,Female,Freestyle Skiing (Aerials),"Cincinnati, OH ",WLWT,"Cincinnati, OH ",WLWT,"Park City, UT",KSL,Utah Valley University,KSL ,Park City Ski & Snowboard ,KSL,,,,https://www.instagram.com/karenna.elliott/?hl=en,,X
,,X,Winter Vinecki,Female,Freestyle Skiing (Aerials),"Grand Rapids, MI",WOOD,"Gaylord, MI ",WPBN,"Park City, UT",KSL ,University of Utah / St. Mary's University School of Law,KSL,,,2022,,,https://www.instagram.com/wintervinecki/?hl=en,Winter Vinecki (@wintervinecki) | TikTok,X
X,,X,Alex Ferreira,Male,Freestyle Skiing (Halfpipe),"Aspen, CO",KUSA,"Aspen, CO",KUSA,"Aspen, CO",KUSA,Colorado Mountain College / Westminster College,KUSA / KSL ,Aspen Valley Ski & Snowboard ,KUSA,"2018, 2022","1 silver, 1 bronze",Alex Ferreira (@alexferreiraski) / X,https://www.instagram.com/alexferreiraski/?hl=en,Alex Ferreira (@alexferreiraski) | TikTok,X
,,X,Birk Irving,Male,Freestyle Skiing (Halfpipe),"Englewood, CO ",KUSA,"Winter Park, CO ",KUSA,"Steamboat Springs, CO ",KUSA,University of Utah ,KSL,Winter Park Competition Center,KUSA,2022,,,https://www.instagram.com/birkirving/?hl=en,Birk (@birkirving1) | TikTok,X
,,X,David Wise,Male,Freestyle Skiing (Halfpipe),"Reno, NV",KRNV,"Reno, NV",KRNV,"Reno, NV",KRNV,,,,,"2014, 2018, 2022 ","2 gold, 1 silver",David Wise (@mrDavidWise) / X,https://www.instagram.com/mrdavidwise/?hl=en,,X
,,X,Hunter Hess,Male,Freestyle Skiing (Halfpipe),"Bend, OR",KTVZ,"Bend, OR",KTVZ,"Park City, UT",KSL ,,,,,,,,https://www.instagram.com/hunterhess10/?hl=en,,X
,,X,Matt Labaugh,Male,Freestyle Skiing (Halfpipe),"Rye, NY ",WNBC,"Rye, NY ",WNBC,,,Colorado Mountain College,KUSA,Ski and Snowboard Club Vail,KUSA,,,,https://www.instagram.com/mattlabaugh/?hl=en,,X
,,X,Nick Goepper,Male,Freestyle Skiing (Halfpipe),"Fort Wayne, IN",WPTA,"Lawrenceburg, IN ",WLWT,"Salt Lake City, UT ",KSL ,Westminster University ,KSL ,,,"2014, 2018, 2022","2 silver, 1 bronze",,https://www.instagram.com/nickgoepper/?hl=en,Nick Goepper (@nickgoepper) | TikTok,X
,,X,Hanna Faulhaber,Female,Freestyle Skiing (Halfpipe),"Aspen, CO",KUSA,"Basalt, CO ",KUSA,,,,,Aspen Valley Ski & Snowboard,KUSA,2022,,Hanna Faulhaber (@hannafaulhaber1) / X,https://www.instagram.com/hanna_faulhaber/?hl=en,Hanna Faulhaber (@hbfskier) | TikTok,X
,,X,Kate Gray,Female,Freestyle Skiing (Halfpipe),"Mammoth Lakes, CA",KSEE,"Mammoth Lakes, CA",KSEE,"Mammoth Lakes, CA",KSEE,,,Mammoth Mountain Freeski Team ,KSEE,,,,https://www.instagram.com/_kate_gray/?hl=en,,X
